Index,Country,Client,ISP,Subnets,Aggregate
7,687,894,373,850,2804
75,687,894,373,850,2804
108,687,894,373,850,2804
269,687,894,373,850,2804
285,687,894,373,850,2804
351,687,894,373,850,2804
512,687,894,373,850,2804
539,687,894,373,850,2804
583,687,894,373,850,2804
676,687,894,373,850,2804
793,687,894,373,850,2804
839,687,894,373,850,2804
842,687,894,373,850,2804
1,687,642,373,850,2552
14,687,642,373,850,2552
16,687,642,373,850,2552
19,687,642,373,850,2552
22,687,642,373,850,2552
27,687,642,373,850,2552
34,687,642,373,850,2552
36,687,642,373,850,2552
38,687,642,373,850,2552
46,687,642,373,850,2552
51,687,642,373,850,2552
58,687,642,373,850,2552
59,687,642,373,850,2552
63,687,642,373,850,2552
70,687,642,373,850,2552
79,687,642,373,850,2552
82,687,642,373,850,2552
83,687,642,373,850,2552
85,687,642,373,850,2552
87,687,642,373,850,2552
88,687,642,373,850,2552
92,687,642,373,850,2552
98,687,642,373,850,2552
100,687,642,373,850,2552
105,687,642,373,850,2552
107,687,642,373,850,2552
111,687,642,373,850,2552
115,687,642,373,850,2552
124,687,642,373,850,2552
126,687,642,373,850,2552
127,687,642,373,850,2552
133,687,642,373,850,2552
134,687,642,373,850,2552
140,687,642,373,850,2552
156,687,642,373,850,2552
161,687,642,373,850,2552
162,687,642,373,850,2552
168,687,642,373,850,2552
169,687,642,373,850,2552
172,687,642,373,850,2552
177,687,642,373,850,2552
179,687,642,373,850,2552
182,687,642,373,850,2552
193,687,642,373,850,2552
202,687,642,373,850,2552
208,687,642,373,850,2552
209,687,642,373,850,2552
212,687,642,373,850,2552
213,687,642,373,850,2552
224,687,642,373,850,2552
230,687,642,373,850,2552
235,687,642,373,850,2552
238,687,642,373,850,2552
242,687,642,373,850,2552
248,687,642,373,850,2552
260,687,642,373,850,2552
262,687,642,373,850,2552
268,687,642,373,850,2552
270,687,642,373,850,2552
274,687,642,373,850,2552
279,687,642,373,850,2552
286,687,642,373,850,2552
288,687,642,373,850,2552
290,687,642,373,850,2552
298,687,642,373,850,2552
301,687,642,373,850,2552
302,687,642,373,850,2552
303,687,642,373,850,2552
308,687,642,373,850,2552
311,687,642,373,850,2552
313,687,642,373,850,2552
322,687,642,373,850,2552
323,687,642,373,850,2552
331,687,642,373,850,2552
332,687,642,373,850,2552
340,687,642,373,850,2552
342,687,642,373,850,2552
343,687,642,373,850,2552
345,687,642,373,850,2552
347,687,642,373,850,2552
352,687,642,373,850,2552
358,687,642,373,850,2552
360,687,642,373,850,2552
363,687,642,373,850,2552
371,687,642,373,850,2552
374,687,642,373,850,2552
377,687,642,373,850,2552
386,687,642,373,850,2552
387,687,642,373,850,2552
406,687,642,373,850,2552
408,687,642,373,850,2552
422,687,642,373,850,2552
434,687,642,373,850,2552
436,687,642,373,850,2552
438,687,642,373,850,2552
440,687,642,373,850,2552
446,687,642,373,850,2552
450,687,642,373,850,2552
456,687,642,373,850,2552
462,687,642,373,850,2552
463,687,642,373,850,2552
469,687,642,373,850,2552
470,687,642,373,850,2552
472,687,642,373,850,2552
475,687,642,373,850,2552
481,687,642,373,850,2552
487,687,642,373,850,2552
489,687,642,373,850,2552
490,687,642,373,850,2552
493,687,642,373,850,2552
498,687,642,373,850,2552
499,687,642,373,850,2552
500,687,642,373,850,2552
508,687,642,373,850,2552
510,687,642,373,850,2552
511,687,642,373,850,2552
516,687,642,373,850,2552
517,687,642,373,850,2552
527,687,642,373,850,2552
528,687,642,373,850,2552
532,687,642,373,850,2552
533,687,642,373,850,2552
534,687,642,373,850,2552
536,687,642,373,850,2552
542,687,642,373,850,2552
545,687,642,373,850,2552
548,687,642,373,850,2552
550,687,642,373,850,2552
553,687,642,373,850,2552
554,687,642,373,850,2552
557,687,642,373,850,2552
