Index,Country,Client,ISP,Subnets,Aggregate,SUM
7,687,894,373,850,"2,804",1.49
75,687,894,373,850,"2,804",1.49
108,687,894,373,850,"2,804",1.49
269,687,894,373,850,"2,804",1.49
285,687,894,373,850,"2,804",1.49
351,687,894,373,850,"2,804",1.49
512,687,894,373,850,"2,804",1.49
539,687,894,373,850,"2,804",1.49
583,687,894,373,850,"2,804",1.49
676,687,894,373,850,"2,804",1.49
793,687,894,373,850,"2,804",1.49
839,687,894,373,850,"2,804",1.49
842,687,894,373,850,"2,804",1.49
1,687,642,373,850,"2,552",1.35
14,687,642,373,850,"2,552",1.35
16,687,642,373,850,"2,552",1.35
19,687,642,373,850,"2,552",1.35
22,687,642,373,850,"2,552",1.35
27,687,642,373,850,"2,552",1.35
34,687,642,373,850,"2,552",1.35
36,687,642,373,850,"2,552",1.35
38,687,642,373,850,"2,552",1.35
46,687,642,373,850,"2,552",1.35
51,687,642,373,850,"2,552",1.35
58,687,642,373,850,"2,552",1.35
59,687,642,373,850,"2,552",1.35
63,687,642,373,850,"2,552",1.35
70,687,642,373,850,"2,552",1.35
79,687,642,373,850,"2,552",1.35
82,687,642,373,850,"2,552",1.35
83,687,642,373,850,"2,552",1.35
85,687,642,373,850,"2,552",1.35
87,687,642,373,850,"2,552",1.35
88,687,642,373,850,"2,552",1.35
92,687,642,373,850,"2,552",1.35
98,687,642,373,850,"2,552",1.35
100,687,642,373,850,"2,552",1.35
105,687,642,373,850,"2,552",1.35
107,687,642,373,850,"2,552",1.35
111,687,642,373,850,"2,552",1.35
115,687,642,373,850,"2,552",1.35
124,687,642,373,850,"2,552",1.35
126,687,642,373,850,"2,552",1.35
127,687,642,373,850,"2,552",1.35
133,687,642,373,850,"2,552",1.35
134,687,642,373,850,"2,552",1.35
140,687,642,373,850,"2,552",1.35
156,687,642,373,850,"2,552",1.35
161,687,642,373,850,"2,552",1.35
162,687,642,373,850,"2,552",1.35
168,687,642,373,850,"2,552",1.35
169,687,642,373,850,"2,552",1.35
172,687,642,373,850,"2,552",1.35
177,687,642,373,850,"2,552",1.35
179,687,642,373,850,"2,552",1.35
182,687,642,373,850,"2,552",1.35
193,687,642,373,850,"2,552",1.35
202,687,642,373,850,"2,552",1.35
208,687,642,373,850,"2,552",1.35
209,687,642,373,850,"2,552",1.35
212,687,642,373,850,"2,552",1.35
213,687,642,373,850,"2,552",1.35
224,687,642,373,850,"2,552",1.35
230,687,642,373,850,"2,552",1.35
235,687,642,373,850,"2,552",1.35
238,687,642,373,850,"2,552",1.35
242,687,642,373,850,"2,552",1.35
248,687,642,373,850,"2,552",1.35
260,687,642,373,850,"2,552",1.35
262,687,642,373,850,"2,552",1.35
268,687,642,373,850,"2,552",1.35
270,687,642,373,850,"2,552",1.35
274,687,642,373,850,"2,552",1.35
279,687,642,373,850,"2,552",1.35
286,687,642,373,850,"2,552",1.35
288,687,642,373,850,"2,552",1.35
290,687,642,373,850,"2,552",1.35
298,687,642,373,850,"2,552",1.35
301,687,642,373,850,"2,552",1.35
302,687,642,373,850,"2,552",1.35
303,687,642,373,850,"2,552",1.35
308,687,642,373,850,"2,552",1.35
311,687,642,373,850,"2,552",1.35
313,687,642,373,850,"2,552",1.35
322,687,642,373,850,"2,552",1.35
323,687,642,373,850,"2,552",1.35
331,687,642,373,850,"2,552",1.35
332,687,642,373,850,"2,552",1.35
340,687,642,373,850,"2,552",1.35
342,687,642,373,850,"2,552",1.35
343,687,642,373,850,"2,552",1.35
345,687,642,373,850,"2,552",1.35
347,687,642,373,850,"2,552",1.35
352,687,642,373,850,"2,552",1.35
358,687,642,373,850,"2,552",1.35
360,687,642,373,850,"2,552",1.35
363,687,642,373,850,"2,552",1.35
371,687,642,373,850,"2,552",1.35
374,687,642,373,850,"2,552",1.35
377,687,642,373,850,"2,552",1.35
386,687,642,373,850,"2,552",1.35
387,687,642,373,850,"2,552",1.35
406,687,642,373,850,"2,552",1.35
408,687,642,373,850,"2,552",1.35
422,687,642,373,850,"2,552",1.35
434,687,642,373,850,"2,552",1.35
436,687,642,373,850,"2,552",1.35
438,687,642,373,850,"2,552",1.35
440,687,642,373,850,"2,552",1.35
446,687,642,373,850,"2,552",1.35
450,687,642,373,850,"2,552",1.35
456,687,642,373,850,"2,552",1.35
462,687,642,373,850,"2,552",1.35
463,687,642,373,850,"2,552",1.35
469,687,642,373,850,"2,552",1.35
470,687,642,373,850,"2,552",1.35
472,687,642,373,850,"2,552",1.35
475,687,642,373,850,"2,552",1.35
481,687,642,373,850,"2,552",1.35
